doc_id,item,category,amount,price,discount,sale_date
IZK7061,Разделочная доска,Кухня,4,412.14,0.0,2026-01-22
IZK7061,Контейнер,Кухня,4,1213.09,0.0,2026-01-22
IZK7061,Простыня,Текстиль,3,1023.85,0.0,2026-01-22
PMS1980,Кружка,Посуда,3,445.37,0.0,2026-01-22
PMS1980,Нож,Кухня,3,866.54,0.0,2026-01-22
PPX4172,Сковорода,Посуда,4,636.09,0.0,2026-01-22
PPX4172,Наволочка,Текстиль,2,1411.03,39.17,2026-01-22
MNM2448,Сковорода,Посуда,3,159.28,0.0,2026-01-22
MNM2448,Сковорода,Посуда,5,594.29,0.0,2026-01-22
MNM2448,Порошок,Бытовая химия,5,589.22,0.0,2026-01-22
MNM2448,Наволочка,Текстиль,4,386.59,64.36,2026-01-22
JNY6855,Отбеливатель,Бытовая химия,3,1280.02,0.0,2026-01-22
JNY6855,Контейнер,Кухня,1,608.69,40.85,2026-01-22
JNY6855,Наволочка,Текстиль,3,485.05,0.0,2026-01-22
JNY6855,Кружка,Посуда,1,246.06,4.21,2026-01-22
DAY7618,Простыня,Текстиль,1,862.93,0.0,2026-01-22
DAY7618,Разделочная доска,Кухня,2,1196.78,0.0,2026-01-22
DAY7618,Сковорода,Посуда,5,518.71,0.0,2026-01-22
CYH1480,Кружка,Посуда,4,1308.96,738.9,2026-01-22
CYH1480,Разделочная доска,Кухня,5,1096.57,423.47,2026-01-22
CYH1480,Полотенце,Текстиль,4,818.66,0.0,2026-01-22
EXA9946,Разделочная доска,Кухня,3,600.27,143.9,2026-01-22
EXA9946,Разделочная доска,Кухня,2,528.37,0.0,2026-01-22
EXA9946,Порошок,Бытовая химия,4,1468.97,755.9,2026-01-22
